content,来访城市,受访城市,来访人姓名,来访人职位,接访人姓名,接访人职位,访问年份,访问时间,访问天数,新闻摘要,是否属于数字政府议题,政策议题
6月6日至7日，省委书记彭清华，省委副书记、省长尹力，率四川省党政代表团赴重庆市学习考察，全面贯彻落实习近平总书记在深入推动长江经济带发展座谈会上的重要讲话精神，以“一家亲”感情推动常态化合作，以“一盘棋...,福州市,成都市,林东,福州市委副书记、市长,朱志宏,成都市委常委、常务副市长,2017,2017-08-21 00:00:00,1.0,林东一行先后参观考察了四川凉山彝族自治州乡村文化礼堂建设、成都市社区综合服务中心、成都市青白江工业集中发展区、成都市天府新区、成都市铁路运输系统等,否,区域规划；文化旅游；劳动就业
7月18日，市委书记、市人大常委会主任唐坚率乐山党政代表团赴上海市，深入上海宝钢集团、上海东方明珠（集团）公司，开展投资促进活动。市委常委、市国资委党委书记王万锟，副市长方为加，市委秘书长袁晓松以及市级相关部门负责人随行考察。 上海宝钢集团有限公司，是中国最具竞争力的钢铁联合企业。该公司立足钢铁主业，生产高技术含量、高附加值钢铁精品，已形成普碳钢、不锈钢、特钢三大产品系列，广泛应用于汽车、家电、石油化工、机械制造、能源交通、电子仪表等行业，技术研发、技术服务等能力强。深入该公司，唐坚一行与宝钢集团副总经理赵昆，宝钢集团规划委员会副主任邹宽等就传统产业的技术创新、新兴产业抢占技术前沿等开展了深入细致的交流会谈。唐坚指出，“十二五”期间，乐山面临产业结构调整的巨大压力，必须走传统产业的产品高端化和新兴产业的产业高端化之路，必须加大技术创新和技术引进的力度，始终走在技术前沿，才能实现更快更好发展。宝钢公司有传统技术产品高端化的成功经验，也有抢占新兴产业技术制高点的优势，希望宝钢集团能与乐山市开展广泛的市、企合作，提供技术、人才等方面的大力支持，助推乐山产业结构调整。同时，乐山是全国多晶硅及太阳能光伏产业的发祥地、国家级硅材料开发及副产物利用产业化基地，电子信息产业、新能源产业、冶金建材产业等有较好的基础。随着城际铁路等交通骨干项目的建设，乐山的区位优势更为明显。希望宝钢集团到乐山观光考察，投资兴业。 成立于1992年的上海东方明珠（集团）股份有限公司，是中国第一家文化类上市公司。公司成立以来，先后在文化休闲娱乐、新媒体、对外投资等领域进行多元化拓展，实现了产业结构优化和业绩的稳健、快速发展。 深入上海东方明珠（集团）股份有限公司，唐坚一行与该公司董事长钮卫平、副总裁胡爱莲等就文化产业、旅游产业的发展展开座谈。唐坚盛情邀请公司负责人来乐考察、发展。他说，乐山三江汇流，生态优美，森林覆盖率高，乐山是世界自然与文化双遗产地，是中国著名的旅游城市。城际铁路明年通车，乐山的交通区位条件将显著改善。“十二五”期间，乐山将全力打造国际一流的文旅休闲目的地。希望上海东方明珠（集团）公司来乐观光、考察，将发展文化旅游产业的成功经验带到乐山，帮助乐山提升城市品位，发展文化旅游产业，在合作中共赢发展。钮卫平表示，乐山旅游资源丰富，乐山市委、政府发展文化旅游产业的目标明确，大有发展潜力，希望近期去乐山学习考察，谋求合作商机。,乐山市,上海市,唐坚,乐山市市委书记、市人大常委会主任,,,2011,2011-07-18 00:00:00,1.0,传统产业的技术创新、新兴产业抢占技术前沿；乐山是世界自然与文化双遗产地，是中国著名的旅游城市；,否,宏观经济；文化旅游；科技通信；环境保护；交通运输
冯景锋一行先后前往四川数据要素产业园、“德阳市民通”公司、德阳城市大脑等地，学习考察德阳在数商企业引入培育、数据元件开发、应用场景建设、“德阳市民通”APP和微信小程序开发运营等方面的经验做法，特别是对德阳城市运行“一网统管”、城市态势“一网通看”、政务服务“一网通办”、数据资源“一网协同”的“四网”运营模式进行了观摩学习。每到一处，考察组成员都认真观摩、仔细聆听。。在交流座谈会上，德阳市委常委、副市长陈景峰对考察组表示热烈欢迎，德阳市政务服务和大数据管理局相关负责同志介绍了“数字德阳”相关情况。双方就数字城市建设管理工作进行了深入交流和探讨。冯景锋在座谈会上表示，通过学习观摩考察组全体同志进一步解放了思想、拓宽了眼界，德阳市在数字化建设工作上取得的成绩令人瞩目，德阳的先进经验和有效做法再一次为甘孜数字建设介绍了经验、提供了样板，希望两地持续深化沟通交流，并在数字化建设方面给予甘孜更多的指导和帮助。同时，他要求考察组同志认真学习德阳先进经验和创新做法，结合自身实际，把学习考察成果转化为推动数字甘孜建设的新思路、新举措。一是充分学习德阳数字化建设先进理念，切实将数字甘孜建设工作作为一项系统性改革任务，以数字要素改革为引领，统筹抓好组织体系、制度体系、要素培育体系、交易流通体系、安全监管体系等建设。二是充分学习德阳城市大脑建设先进经验，厘清建设主体与使用主体，突出使用主体需求导向，按照共性需求统建共用、个性需求特色定制、数据资源互通共享的原则，科学合理布局应用建设，确保数字甘孜各项应用建设成果受欢迎、见成效，赋能经济社会发展。三是充分学习“德阳市民通”建设经验做法，立足服务民生、服务基层、服务决策，做好数字甘孜专题领域场景应用建设。,甘孜藏族自治州,德阳市,冯景锋,甘孜藏族自治州州委副书记、州长,陈景峰,德阳市委常委、副市长,2023,2023-08-16 00:00:00,1.0,对数字德阳；“数字德阳”相关情况；数字化建设；数字甘孜建设,是,数字政府；政府运作；科技通信
为深入学习贯彻党的二十大精神，5月9日至10日，省人大常委会副主任、州委书记刘坪率阿坝州党政代表团赴海南省海口市，学习考察改革开放、乡村振兴、生态保护治理、城市规划建设等方面的先进理念，并就进一步深化合作交流、协同发展与海口市达成共识。海南省委常委、海口市委书记罗增斌，海口市委副书记、市长丁晖等分别陪同考察。。他山之石，可以攻玉。海口市作为国家“一带一路”战略支点城市，是中国（海南）自由贸易试验区（港）核心城市，更是改革开放的前沿阵地。学什么？怎么学？哪些经验做法可以借鉴使用？带着这样的思考，刘坪一行先后前往海南东寨港国家级自然保护区、海口观澜湖旅游度假区、昌学村动漫小镇、海口骑楼老街、海瑞文化公园、雷琼世界地质公园海口园区、海口国际免税城等地考察，与当地干部群众和企业管理人员深入交流，详细了解海口市经济社会发展的好经验、好做法。刘坪表示，这次来到海口，既是一次友谊之行，也是一次学习之行，更是一次合作之行，旨在拓宽视野、拓展思路，并结合我州实际，针对性解决短板问题，更好推动阿坝州经济社会高质量发展。他强调，要坚持以习近平新时代中国特色社会主义思想为指导，深入贯彻党的二十大精神，认真学习海口市在改革开放、乡村振兴、生态保护治理、城市规划建设等方面的好经验、好做法，对标对表找差距、补短板、扬优势，奋力推动新时代稳州兴州各项事业高质量发展。。在海南东寨港国家级自然保护区，站在岸边远眺，极目所见，青绿成片，红树林与蓝天碧水交相辉映。作为我国红树林中连片面积最大、保育最完好、资源最丰富的“海上森林公园”，东寨港保护区红树林生态系统在净化海水、防风消浪、固碳储碳、维护生物多样性等方面发挥着重要作用。沿着岸边步道，阿坝州党政代表团一行边走边看边听，详细了解近年来东寨港保护区开展退塘还林还湿、生态修复等情况，对东寨港保护区在生态修复和资源保护方面取得的成效以及变废为宝、采取生蚝壳护堤这一创新做法表示由衷的认可。刘坪指出，要深入贯彻习近平生态文明思想，坚定践行长江黄河上游生态“重在保护、要在治理、高质量发展”理念，认真学习海口市的先进做法，结合实际、创新运用，以等不起的紧迫感、慢不得的危机感、坐不住的责任感，持续深化“七大保护”行动、“七大治理”工程，全力筑牢长江黄河上游生态屏障。。海口阿坝虽相隔山海，但海景沙滩与雪山草地、海上丝绸之路与高原茶马古道具有互补性，文旅融合发展方向具有共通性。考察期间，代表团一行先后前往华彩·海口湾、观澜湖旅游度假区、雷琼世界地质公园海口园区马鞍岭景区、海口骑楼老街和海口国际免税城，实地考察文旅产业新业态发展情况，互动交流景区智慧旅游、文旅产业发展、服务配套设施建设等工作，感受海口市全市上下旅游服务的态度、解放思想的程度、文旅发展的强度，一致表示将认真学习借鉴海口市先进经验，将好做法带回来，努力开创文旅工作新局面。刘坪表示，阿坝、海口的旅游资源特色迥异，尤其是海景沙滩与雪山草地可以形成良好的优势互补，双方合作基础良好、空间广阔，希望双方立足各自资源比较优势，进一步深化战略合作，最终实现资源互补、信息共享、市场互建、客源互送，携手开创跨区域文旅协同发展新局面。。考察期间，代表团一行还前往海口市海瑞文化公园，参观海瑞生平事迹史料展，接受廉洁文化熏陶。大家表示，要认真学习海瑞“刚正不阿、清正廉洁”的精神，坚决把纪律和规矩挺在前面，进一步加强党性修养、长鸣清廉警钟，坚定不移明大德、守公德、严私德，以永远在路上的坚定和执着把全面从严治党引向深入，不断巩固发展风清气正的良好政治生态。,阿坝州,海口市,刘坪,阿坝州党政代表团团长、省人大常委会副主任、州委书记,罗增斌,海南省委常委、海口市委书记,2023,2023-05-09 00:00:00,2.0,学习考察改革开放、乡村振兴、生态保护治理、城市规划建设等方面的先进理念；在东寨港保护区深入了解生态修复和资源保护情况；文旅产业新业态；海瑞文化,否,宏观经济；区域规划；环境保护；文化旅游；社会政策
推动省内对口帮扶转向合作共赢 高鹏凌率队 李丹 曾洪扬 谭豹 徐其斌分别陪同 喻在岗参加。一路走，一路看，一路学，一路议，确保学到真经、转化实践。在内江、自贡期间，巴中市党政代表团通过入园区、进车间、看展板、听介绍等方式，实地学习考察内江推进国家级经开区建设、文旅融合发展，自贡打造航空工业园、现代农业园区等情况，并实地走访两地生物医药、食品饮料、高新技术制造等领域重点企业代表。代表团成员一致认为，内江、自贡两地聚力拼经济搞建设，呈现出强劲发展态势，在抓项目促投资、优化营商环境、文旅农旅融合发展、乡村振兴等各方面建立的良好机制、务实的举措、取得的成效、总结的经验值得我们学习、借鉴。。代表团成员表示，巴中与内江、自贡同处天府大地，文化相融、人缘相亲、情谊相通。自巴中与内江、自贡签订合作协议以来，帮扶方、受扶方将共识转化成了操作指南，并开启了区域协作的新篇章。下一步，巴中将加强与内江、自贡开展全方位的联系与协作，共同推进经济社会繁荣发展、和谐进步。同时希望帮扶方、受扶方共同肩负起中央和省委赋予的新的历史使命，以对口帮扶为契机，进一步创新合作机制、提升合作效果，不断巩固和发展两地精诚协作、互利共赢的良好局面。。内江市副市长毕胜及市政府秘书长蒋学飞，自贡市政府秘书长姜华分别陪同上述有关考察。巴中市政府秘书长张夕谦及通江县、平昌县、市级有关部门相关负责人参加。（记者 吴江）,巴中市,"内江市,自贡市",张斌,巴中市市委书记,"毕胜,姜华","内江市副市长,自贡市政府秘书长",2024,2024-01-23 00:00:00,2.0,实地学习考察内江推进国家级经开区建设、文旅融合发展，自贡打造航空工业园、现代农业园区；,否,区域规划；宏观经济；文化旅游；农林牧渔
"7月7日-8日,由市委常委、副市长王军带队,市双拥工作领导小组办公室组织市级有关部门、雅安军分区政治工作处负责同志及部分县(区)双拥工作领导小组分管负责同志和双拥工作领导小组办公室主任赴宜宾、泸州学习考察全国双拥模范城创建工作。。在宜宾市,考察组一行先后参观了五粮液集团公司退役军人服务站、翠屏区大地坡双拥主题公园、市退役军人服务中心。在泸州市,考察组一行参观了泸顺起义陈列馆、泸州前进路双拥街、天立双拥社区。参观结束后,考察组分别与宜宾、泸州两市双拥工作领导及部分成员单位就加强新时代双拥工作政策支持、双拥宣传与阵地建设、驻地部队拥政爱民工作、双拥工作助推经济社会事业发展及其他双拥日常活动开展情况和经验进行了交流学习。。通过学习考察,考察组成员进一步坚定了创建信心,同时看到雅安双拥工作与已成功四创全国双拥模范城的宜宾、七创全国双拥模范城的泸州等老牌全国双拥模范城比较还存在较大差距,如组织与工作力量较为薄弱,双拥政策还不优,很多工作还不深不细,双拥特色工作不够明显,在宣传教育、阵地建设等方面还需要进一步加强。但是,雅安市地理位置特殊重要,双拥工作具有优良传统,基础条件好、红色资源丰富、驻地部队积极支持地方建设,下一步,雅安将认真贯彻全省双拥模范命名表彰大会精神,按照市委市政府打好“红”“绿”“黑白”三张名片及全国双拥模范城“创必创成”的要求,认真消化吸收两市的好经验好做法,深入分析和思考,抓紧整改,扎实工作,提升雅安新时代双拥工作水平,力争早日创建为全国双拥模范城。",雅安市,"宜宾市,泸州市",王军,雅安市市委常委、副市长,,,2020,2020-07-07 00:00:00,2.0,坝一易地扶贫搬迁安置点，就安置点规划、建设及搬迁扶贫等情况进行了实地考察；香港新界东绿道的建设情况进行了参观学习；双拥工作政策支持、双拥宣传与阵地建设、驻地部队拥政爱民工作、双拥工作助推经济社会事业发展及其他双拥日常活动开展情况和经验进行了交流学习,否,政府运作；宏观经济；区域规划；双拥工作
"11月25日至26日，省委书记、省人大常委会主任刘奇葆率四川省党政代表团专程赴湖南省，代表四川人民特别是地震灾区人民，感谢湖南省委、省政府和湖南人民对我省抗震救灾和灾后重建的倾力援助，学习考察湖南推动科学发展、促进社会和谐的先进经验，进一步推动两省深化合作、共赢发展。 在湘期间，在湖南省委书记、省人大常委会主任周强的陪同下，刘奇葆和代表团一行深入了解湖南省围绕科学发展的主题和转变经济发展方式的主线，加快推进新型工业化、农业现代化、新型城镇化、信息化和资源节约型、环境友好型社会建设，统筹推进改革、发展、稳定工作的成效和经验。考察中，刘奇葆说，湖南省以推进长株潭城市群""两型社会""建设为重要机遇，在推进科学发展、加快转变经济发展方式上创造了经验，为四川提供了有益启示。与此同时，湖南省坚持繁荣文化事业，发展文化产业，""文化湘军""异军突起，文化对经济社会发展的支撑促进作用越来越强，其做法和经验值得四川认真学习。 2007年，湖南的长株潭城市群获批为全国资源节约型、环境友好型社会建设综合配套改革试验区。刘奇葆和代表团成员一起来到位于长沙橘子洲头的长株潭""两型社会""展览馆参观，了解湖南省推进""两型社会""建设的思路、举措和成果。刘奇葆说，建设""两型社会""，工业结构优化调整十分重要，这种淘汰落后、减少污染的做法很有远见。长株潭城市群""两型社会""建设真正把加快经济社会发展与加强生态环境保护结合起来，推动经济社会发展走上全面协调可持续发展的轨道，为四川作出了示范，提供了经验。 ""十二五""末，长沙市的工程机械产值将达到3000亿元，着力打造工程机械之都。中联重工科技发展股份有限公司就是这个行业中的领军企业。走进企业，展现在眼前的是一排排体积庞大的起重机、挖掘机、铺路机、混凝土泵车，一台台塔式起重机和混凝土泵车数十米高的工作臂直指天空，十分壮观。刘奇葆和代表团成员走进企业装配车间，了解企业推进发动机、液压和操控系统关键环节技术创新的情况。听说企业集中力量专注于建筑工程、能源工程和交通工程等领域的重大高新技术装备研发制造，每年销售收入的50%来自于新产品开发，刘奇葆说，实践证明，唯有加强创新，掌握核心技术才是加快发展、赢得市场的不竭动力。他希望中联重工能与四川的装备制造企业加强合作，共同做大。 四川省党政代表团一行还前往长沙橘子洲，实地考察生态文化公园规划建设情况。代表团成员走进公园，了解公园内文化活动点的规划建设以及文化活动开展情况。听说公园建成后不仅给群众提供了文化活动场所，还增加了就业，改善了民生，刘奇葆说，文化产业是智力产业、创意产业，资源消耗少、环境污染小、比较效益高，加快推进文化产业发展，不仅满足了群众文化活动的需求，还使文化产业成为加快转变经济发展方式的重要突破口，这与建设""两型社会""的要求是一致的，湖南在这方面的做法值得学习。 考察期间，刘奇葆还率领四川省党政代表团专程前往韶山，向毛泽东同志铜像敬献花篮，瞻仰毛泽东同志故居。四川省领导魏宏、钟勉、刘捷，省商务厅厅长谢开华等相关部门负责人随团参加考察。",广安市,达州市,刘明宇,达州市委常委、广安市委书记,黄河,达州市委副书记、市长,2021,2021-08-17 00:00:00,1.0,在达州市考察学习心理健康、文化旅游、聚焦学校建设、农村人居环境整治等工作,否,卫生健康；文化旅游；教育；农林牧渔；区域规划
冯发贵率州党政代表团赴宜宾市、泸州市感恩致谢并学习考察 - 甘孜藏族自治州人民政府网站。12月20日至21日，州委副书记、州长冯发贵率州党政代表团赴宜宾市、泸州市感恩致谢，并学习考察科技创新、产业园区建设、文化旅游发展、开放合作等工作，就进一步深化对口帮扶、区域合作开展对接。。宜宾市委书记方存好，宜宾市委副书记曾令举；泸州市委书记杨林兴，泸州市委副书记、市长余先河，泸州市委副书记何洪波参加有关活动。州委副书记邓立军参加学习考察。。在宜宾市叙州区丰川动力科技有限公司、高新技术产业园区和光同程光伏产业项目基地，州代表团实地考察了解宜宾市光伏产业布局、项目招引落地、科技和产业融合发展等情况。冯发贵指出，近年来，宜宾市加快推进全市产业向以数字经济新蓝海、绿色新能源为核心的“一蓝一绿”产业优化转型，做大做强动力电池、光伏、数字经济等产业。甘孜州清洁能源优势得天独厚，是全省太阳能最丰富地区、全国太阳能高值地区之一，还是全球最大的硬岩型锂资源矿区。要立足资源禀赋、发展条件、比较优势等实际，学习借鉴宜宾市经验做法，加强多领域合作，加快“飞地园区”建设，切实把甘孜州资源优势转化为产业优势、发展优势、富民优势。。在宜宾市李庄古镇，州代表团参观考察了李庄文化抗战博物馆、中国营造学社陈列馆、羊街等文旅融合项目，详细了解李庄古镇坚持景镇一体，用“老砖老瓦老手艺”复原古街古巷古建筑、打造特色院落的经验做法。冯发贵指出，李庄在展示古镇深厚文化底蕴、发展文旅新兴产业上亮点纷呈，在坚持景镇一体探索新型城镇化建设、景区管理体制机制方面有丰富经验。甘孜州要结合实际，学习借鉴李庄经验做法，牢固树立“以文促旅、以旅彰文、和合共生”理念，深入挖掘、保护、传承和开发有形文化资源和非物质文化遗产，让更多的文化资源转化为旅游产品、文创产品，用文化丰富旅游内涵，用旅游提升文化价值。。在泸州市“乡城县、稻城县农特产品体验中心”，州代表团了解到，泸州市采取“中心+小区”模式，通过建设脱贫地区优质农特产品展示展销中心、小区供应站，将两县优质农特产品销售到泸州市场。冯发贵希望，泸州市有关企业继续深耕乡城县、稻城县农牧特色产业，进一步提升生产经营能力，加大有机认证，全力提品质、树形象、扩市场。希望两地进一步深化帮扶合作，围绕促进产业发展，做大做强高原特色农牧业，助力巩固拓展脱贫攻坚成果同乡村振兴有效衔接，让脱贫成果更有成色、乡村振兴成势见效。。在恒力（泸州）产业园，州代表团考察了解纺织产业从“一滴油到一匹布”全产业链发展，以及车间生产工艺流程等情况。冯发贵指出，泸州市充分发挥龙头企业对产业发展支撑关键作用，着力在招大引强上下功夫，为纺织产业发展奠定了坚实基础。甘孜州要对标先进，围绕文化旅游、清洁能源、特色农牧“三篇文章”，紧盯龙头企业、骨干项目“两大关键”，加强企业招引力度，全力以赴打造文旅之州、能源之州、有机之州。。宜宾市领导陶学周、薛庆，泸州市领导李堂兵、张司伦、李振蛟参加有关考察活动。州政府秘书长，州级相关部门主要负责人参加学习考察。,甘孜藏族自治州,"宜宾市,泸州市",冯发贵,甘孜藏族自治州州委副书记、州长,"陶学周,李堂兵","宜宾市市委副书记、市长,泸州市委书记",2022,2022-12-20 00:00:00,2.0,学习考察科技创新、产业园区建设、文化旅游发展、开放合作等工作；光伏产业布局、项目招引落地、科技和产业融合发展；进一步提升生产经营能力，加大有机认证，全力提品质、树形象、扩市场；,否,宏观经济；区域规划；教育；农林牧渔；环境保护；科技通信；文化旅游
巴中市党政代表团赴内江市、自贡市学习考察高鹏凌率队 李丹 石钢分别陪同_巴中市人民政府。11月13日至14日，市委副书记、市长高鹏凌率巴中市党政代表团赴内江市、自贡市学习考察，表达对口帮扶感谢之情，学习拼经济搞建设先进经验，共谋务实合作新篇章。内江市委副书记、市长李丹，自贡市委副书记、市长石钢分别陪同相关考察。。在内江期间，巴中市党政代表团先后前往川威集团有限公司、威远页岩气综合利用化工园区、镇西镇杨家嘴村、镇西食品加工集中发展区等地，实地考察内江工业发展、园区建设、农村面貌改善行动、特色食品产业发展等情况。在自贡期间，巴中市党政代表团先后前往自贡市立华牧业有限公司、大安区何市镇雨山村集体经济联合社肉鸡养殖基地、富顺县代寺镇水稻高粱现代农业园区、晨光科技园区等地，深入考察现代农业产业园建设运营、村集体经济发展、科技园区建设等情况。。一路走，一路看，一路学。大家纷纷表示，通过学习考察，开阔了视野，学到了方法，收获很大。认为内江、自贡两地深入学习贯彻习近平总书记来川视察重要指示精神，聚力拼经济搞建设，呈现出的蓬勃发展态势让人印象深刻，特别是两地在抓项目促投资、构建现代产业体系、工业园区规划建设、乡村振兴、优化营商环境等方面建立的良好机制、总结的实用经验，值得巴中在工作中学习借鉴。。大家一致认为，今年是巴中建立地区三十周年，当前全市上下正在深入开展第二批主题教育，在这重要的时间节点来到内江、自贡学习考察意义非凡。巴中与内江、自贡情同手足、友谊深厚，感情上水乳交融、思想上融合互通、发展上同频共鸣。将以此次考察为契机，充分学习好、借鉴好内江、自贡两地高质量发展的有益探索和宝贵经验，把学习成果转化为推进现代化巴中建设的思路举措和具体行动。希望继续深化多层次多领域交流合作，进一步推动优势互补、合作共赢，不断巩固和发展交流紧密、协同联动发展的良好局面。。内江市领导徐炼英，自贡市领导朱云、陈华斌先后陪同有关考察。巴中市领导熊文琦、何金虎及市政府秘书长张夕谦参加。（记者 李云良）,巴中市,"内江市,自贡市",高鹏凌,巴中市市委副书记、市长,"李丹,石钢","内江市委副书记、市长,自贡市委副书记、市长",2023,2023-11-13 00:00:00,2.0,"学习考察；工业发展、园区建设、农村面貌改善行动、特色食品产业发展,现代农业产业园建设运营、村集体经济发展、科技园区建设",否,宏观经济；农林牧渔；区域规划；土地
5月21日至22日，浙江省残联党组书记、理事长吕林一行来巴开展东西部对口帮扶活动暨学习考察残疾人工作。市人大常委会党组书记、主任李映陪同并出席座谈会。。吕林一行赴南江县实地考察并出席“浙川协作、助残共兴”座谈会，听取浙川助残协作巴中工作汇报，了解巴中市残疾人工作情况。他指出，四川历史悠久，文化灿烂，自古就有“天府之国”的美誉。近年来，四川省残联在持续增进残疾人民生福祉中，不断开创新时代四川残疾人工作新局面，创造了许多值得学习的好经验、好做法。巴中市委、市政府高度重视残疾人工作，始终坚持把残疾人事业纳入革命老区振兴发展大局，同部署、同实施、同推进，取得了显著成效。接下来，要继续深入贯彻党中央、国务院关于深化东西部协作的决策部署，不断擦亮“浙川协作、助残共兴”金字招牌，精诚合作，将东西部残疾人帮扶协作向更深层次、更高水平、更宽领域迈进。。座谈会上，李映代表市委、市政府致辞。他说，巴中是一座诗意山水之城、资源富集之城、历史厚重之城、开放活力之城和跨越振兴之城，当前正依法实干、创新巧干，放大既有优势、挖掘潜在优势、增创比较优势，加快建设全国革命老区振兴发展示范市。在浙江省残联和四川省残联指导下，巴中先后与浙江省丽水市、金华市携手共进，共同扛起新时代山海协作的重大政治责任，把“山”的特色与“海”的优势有机结合起来，为进一步深化“山海情”、念好“山海经”奠定了坚实基础。希望以本次座谈会为新起点，丰富协作内容，优化资源互补，推动两地残疾人事业高质量发展。。省残联党组成员、副理事长黄卫德代表省残联介绍了四川省残疾人工作相关情况。市委常委、统战部部长、市总工会主席温奇志主持座谈会。浙江省残联、浙江特殊教育职业学院分别与巴中市政府、南江县签订了《川陕革命老区重点城市残疾人帮扶协作框架协议》《院地合作框架协议》。浙江省残疾人福利基金会、中国狮子联合会浙江代表处、金华市残联还为我市捐赠了残疾人辅具。。浙江省残联党组成员、副理事长李一波，浙江特殊教育职业学院院长黄宏伟，副市长任小娟及市人大常委会秘书长易小兵参加或陪同。（记者 张维）,杭州市,巴中市,吕林,浙江省残联党组书记、理事长,李映,巴中市人大常委会党组书记、主任,2023,2023-05-21 00:00:00,2.0,东西部对口帮扶活动暨学习考察残疾人工作；党的二十大精神；,否,社会政策；卫生健康；教育；区域规划
胡斌率队赴浙江、广东走访慰问川籍农民工学习考察人社重点工作-政务要闻-四川省人力资源和社会保障厅。按照省委省政府工作安排，11月21日至25日，厅党组书记、厅长胡斌率队赴浙江、广东走访慰问在浙、粤务工的川籍农民工，学习调研两省人社工作先进经验。。胡斌一行先后深入浙江省光线能源有限公司萧山项目部、中铁三局杭州地铁7号线工程项目施工现场、杭州德圣市政工程公司和广东省荣诚鞋业公司、欧派家居集团股份有限公司走访慰问川籍农民工。每到一处，胡斌同志首先转达省委省政府对农民工的关心问候，详细了解川籍农民工的工作生活情况，倾听他们在务工中遇到的问题和困难；面对面解答就业创业、技能培训、子女升学、异地就医、社保转移接续和返乡返岗专列专车等大家关心关注的热点问题。最后，胡斌鼓励大家要立足岗位，好好工作、好好学习、好好生活，既要为浙、粤两地经济发展添砖加瓦，也要发挥自身聪明才智为建设家乡多做贡献。。在浙、粤两省人社厅学习考察期间，分别召开了人社工作座谈会，双方互相通报了2019年两省劳务扶贫协作涉及的贫困劳动力转移就业、技能培训等工作推进完成情况，重点就“最多跑一次”改革、根治拖欠农民工工资、机关事业单位养老保险制度改革、技能人才队伍建设等方面工作进行了深入交流。胡斌对浙江、广东两省长期以来对四川人社工作予以的关心支持表示衷心感谢。他指出，浙江“最多跑一次”改革、广东专业技能人才培养等多项工作领先全国，创造了很多先进经验和做法。这次学习考察，既是一次省亲之旅、感恩之旅，也是一次学习之旅、合作之旅，四川将把浙、粤两地先进的工作理念和做法带回去，认真学习、消化借鉴。他强调，下步双方要进一步深化合作，要把合作走牢走稳，建立常态化联系沟通机制；要把合作走宽走长，拓展合作领域；要把合作走深走细，创新推进合作成果落地见效。。“最多跑一次”改革、根治拖欠农民工工资、机关事业单位养老保险制度改革、技能人才队伍建设等方面工作进。厅党组成员、副厅长董宏杰，厅党组成员、省就业局局长黄晓东，厅办公室、职建处、农工处、工资处、养老保险处、劳动监察处和省政府驻上海办事处、广州办事处相关人员参加相关活动。,巴中市,"杭州市,广州市",胡斌,四川省人力资源和社会保障厅厅长,,,2023,2023-11-21 00:00:00,5.0,走访慰问在浙、粤务工的川籍农民工；就业创业、技能培训、子女升学、异地就医、社保转移接续和返乡返岗专列专车；“最多跑一次”改革、根治拖欠农民工工资、机关事业单位养老保险制度改革、技能人才队伍建设,是,数字政府；劳动就业；财政；教育；卫生健康
4月23日，四川雅安国家农业科技园区管理委员会（以下简称“市农业园区管委会”）召开全体干部职工会，专题学习《市委书记兰开驰同志带队赴泸州和宜宾学习考察报告》，并组织开展讨论。市农业园区管委会副主任古劲主持会议。。全体干部职工针对报告提出的三点建议，结合市农业园区管委会工作现状，结合自身思想工作实际，逐一发言，谈体会，讲认识，话落实。大家纷纷表示要加强自学，认真开展本职工作。。为加快推进雅安绿色发展振兴，紧紧围绕市委“1485”总体发展思路，会议要求，一是紧密结合市农业园区管委会工作实际，深刻领会和准确把握报告精神实质，深入学习和借鉴泸州和宜宾发展的先进经验做法；二是积极参与“东进融入”战略，加速推进中国·藏茶城建设，着力培育“雅安藏茶”品牌，打响这张雅安城市名片；三是做好“扩园强区”前期工作，服务全市乡村振兴战略，推进农业一、二、三产融合；四是以更严的要求、更高的标准、更实的作风，增强狠抓落实本领，以钉钉子精神做实做细做好各项工作。,雅安市,泸州市,兰开驰,雅安市市委书记,李静,泸州市市委副书记,2022,2022-03-21 00:00:00,3.0,推动雅安市把乡村振兴示范区协同建设与古城保护有机结合，实现新型城镇化与生态保护双赢；在推动乡村振兴、扩大内需和促进消费等方面的经验和做法,否,区域规划；宏观经济
